observationId,field,observationStartMJD,t_exp,fieldRA,fieldDEC,seeingFwhmEff,fiveSigmaDepth,skyBrightness,filter
29538,a36-2-14,61402.57910879629,90,26.05708333333333,2.4966666666666666,1.0853161355092629,23.36974254013817,21.63732512491138,r
29539,a36-2-15,61402.58034722222,90,26.05708333333333,5.094444444444444,1.1136336812255494,23.342316358128777,21.63732512491138,r
29540,a27-1-15,61402.58034722222,90,353.3650458333333,5.094444444444444,1.0996143990571399,23.254594989993155,21.41238359980593,r
29541,a27-1-16,61402.58158564814,90,356.01902499999994,5.094444444444444,1.0544729293425714,23.299292838540147,21.41238359980593,r
29542,a36-2-16,61402.58158564814,90,28.7110625,5.094444444444444,1.236597386039178,23.230655901961295,21.63732512491138,r
29543,a27-1-17,61402.582824074074,90,356.01902499999994,2.4966666666666666,1.2329432337743198,23.132396116666783,21.41238359980593,r
29544,a36-2-17,61402.582824074074,90,28.7110625,2.4966666666666666,1.2580644197795932,23.212287010306913,21.63732512491138,r
29545,a27-1-18,61402.5840625,90,356.01902499999994,-0.1011111111111111,1.2149002651647733,23.14815020182442,21.41238359980593,r
29546,a36-2-18,61402.5840625,90,28.7110625,-0.1011111111111111,1.0345480776123686,23.42071619272189,21.63732512491138,r
29547,a27-1-19,61402.58530092592,90,358.67300833333326,-0.1011111111111111,1.153309411671562,23.223313807368054,21.455573125206037,r
29548,a36-2-19,61402.58530092592,90,31.365045833333333,-0.1011111111111111,1.205641006859303,23.261721553718914,21.64633033992732,r
29549,a27-1-20,61402.58653935185,90,358.67300833333326,2.4966666666666666,1.0377781229866736,23.33585994394532,21.455573125206037,r
29550,a36-2-20,61402.58653935185,90,31.365045833333333,2.4966666666666666,1.070735958394602,23.388147097855487,21.64633033992732,r
29551,a27-1-21,61402.58777777778,90,358.67300833333326,5.094444444444444,1.165137279297377,23.21242324435438,21.455573125206037,r
29552,a36-2-21,61402.58777777778,90,31.365045833333333,5.094444444444444,1.241618503645541,23.23035122329619,21.64633033992732,r
29553,a36-2-22,61402.5890162037,90,34.019025,5.094444444444444,0.9349897474082273,23.532204548104115,21.64633033992732,r
29554,a27-1-22,61402.5890162037,90,1.3269874999999998,5.094444444444444,1.2793358889266895,23.11253733925366,21.455573125206037,r
29555,a36-2-23,61402.59025462963,90,34.019025,2.4966666666666666,0.9293936433684268,23.538573706938962,21.64633033992732,r
