observationId,field,observationStartMJD,t_exp,fieldRA,fieldDEC,seeingFwhmEff,fiveSigmaDepth,skyBrightness,filter
27826,a36-2-09,61395.570138888885,90,20.749116666666666,5.094444444444444,1.031412465313336,22.18209381666511,20.221316976704617,u
27827,a27-1-09,61395.570138888885,90,348.05708333333325,5.094444444444444,1.3162713603076746,21.96416707014741,20.31351765981531,u
27828,a36-2-10,61395.57137731481,90,23.4031,5.094444444444444,0.9201621160466664,22.257705284340997,20.122910707073,u
27829,a27-1-10,61395.57137731481,90,350.7110625,5.094444444444444,1.5037713101296608,21.812485604279367,20.295219589857272,u
27830,a36-2-11,61395.57261574074,90,23.4031,2.4966666666666666,1.2774224252953854,21.90610585640596,20.122910707073,u
27831,a27-1-11,61395.57261574074,90,350.7110625,2.4966666666666666,1.0297823989049513,22.2186041627363,20.295219589857272,u
27832,a27-1-12,61395.573854166665,90,350.7110625,-0.1011111111111111,1.008888001295364,22.24053373771668,20.295219589857272,u
27833,a36-2-12,61395.573854166665,90,23.4031,-0.1011111111111111,1.188148414990904,21.983879873371063,20.122910707073,u
27834,a36-2-13,61395.57509259259,90,26.05708333333333,-0.1011111111111111,1.2630152573318296,21.9182862573495,20.122910707073,u
27835,a27-1-13,61395.57509259259,90,353.3650458333333,-0.1011111111111111,1.5564106688886568,21.77549496129268,20.295219589857272,u
27836,a27-1-14,61395.576331018514,90,353.3650458333333,2.4966666666666666,0.999530223123828,22.250500562579912,20.295219589857272,u
27837,a36-2-14,61395.576331018514,90,26.05708333333333,2.4966666666666666,1.336938568537514,21.857188258624475,20.122910707073,u
27838,a36-2-15,61395.577569444446,90,26.05708333333333,5.094444444444444,1.3856180530661746,21.818753704477903,20.122910707073,u
27839,a27-1-15,61395.577569444446,90,353.3650458333333,5.094444444444444,1.119900194365422,22.128788899197037,20.295219589857272,u
27840,a36-2-16,61395.57880787037,90,28.7110625,5.094444444444444,1.0514896138001024,22.114897230875343,20.122910707073,u
27841,a27-1-16,61395.57880787037,90,356.01902499999994,5.094444444444444,1.283640939794206,21.982478617416724,20.295219589857272,u
27842,a27-1-17,61395.58004629629,90,356.01902499999994,2.4966666666666666,1.1937031020392208,22.060393218434136,20.295219589857272,u
27843,a36-2-17,61395.58004629629,90,28.7110625,2.4966666666666666,0.9251698264058696,22.25190106780203,20.122910707073,u
27844,a27-1-18,61395.58128472222,90,356.01902499999994,-0.1011111111111111,1.2861374421298943,21.98039362795026,20.295219589857272,u
27845,a36-2-18,61395.58128472222,90,28.7110625,-0.1011111111111111,1.4211452740417938,21.79153799237532,20.122910707073,u
27846,a36-2-19,61395.58252314814,90,31.365045833333333,-0.1011111111111111,1.3674714932543564,21.785428850369485,20.02323972158361,u
27847,a27-1-19,61395.58252314814,90,358.67300833333326,-0.1011111111111111,0.9648079812768868,22.272194464944675,20.26096152637616,u
27848,a27-1-20,61395.58376157408,90,358.67300833333326,2.4966666666666666,1.3031274987526906,21.95013529873093,20.26096152637616,u
27849,a36-2-20,61395.58376157408,90,31.365045833333333,2.4966666666666666,1.0919701546950014,22.027039838203205,20.02323972158361,u
27850,a27-1-21,61395.585,90,358.67300833333326,5.094444444444444,1.4434676581198642,21.840278820083867,20.26096152637616,u
27851,a36-2-21,61395.585,90,31.365045833333333,5.094444444444444,1.1431354186360017,21.977913014948545,20.02323972158361,u
27852,a36-2-22,61395.58623842592,90,34.019025,5.094444444444444,1.0294316544989424,22.0902715475566,20.02323972158361,u
27853,a27-1-22,61395.58623842592,90,1.3269874999999998,5.094444444444444,1.005575487280919,22.22793236426281,20.26096152637616,u
